ICB,ICS,TRUST
East Midlands,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST
East Midlands,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST
East Midlands,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,NORTHAMPTON GENERAL HOSPITAL NHS TRUST
East Midlands,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST
East Midlands,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST
East Midlands,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST
East Midlands,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
East Midlands,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST
